Date,Open,High,Low,Close,Adj Close,Volume
2013-07-08,140.0,210.0,140.0,210.0,210.0,8638000
2013-07-09,225.0,255.0,171.0,235.0,235.0,29661500
2013-07-10,235.0,245.0,215.0,230.0,230.0,1842000
2013-07-11,230.0,240.0,200.0,235.0,235.0,3511000
2013-07-12,225.0,230.0,220.0,220.0,220.0,103500
2013-07-15,220.0,225.0,210.0,215.0,215.0,143000
2013-07-16,210.0,225.0,205.0,205.0,205.0,510000
2013-07-17,210.0,215.0,200.0,210.0,210.0,446000
2013-07-18,205.0,220.0,205.0,205.0,205.0,110500
2013-07-19,200.0,210.0,199.0,200.0,200.0,1849000
2013-07-22,200.0,210.0,199.0,205.0,205.0,1887000
2013-07-23,205.0,210.0,199.0,200.0,200.0,399000
2013-07-24,200.0,205.0,197.0,197.0,197.0,2204500
2013-07-25,199.0,210.0,196.0,200.0,200.0,3567000
2013-07-26,200.0,205.0,194.0,197.0,197.0,2813500
2013-07-29,195.0,195.0,186.0,189.0,189.0,4005500
2013-07-30,190.0,205.0,187.0,195.0,195.0,6819500
2013-07-31,200.0,205.0,188.0,188.0,188.0,3266500
2013-08-01,193.0,193.0,188.0,188.0,188.0,78500
2013-08-02,186.0,190.0,184.0,189.0,189.0,69500
2013-08-12,185.0,188.0,184.0,188.0,188.0,8500
2013-08-13,183.0,188.0,183.0,188.0,188.0,290500
2013-08-14,194.0,195.0,185.0,187.0,187.0,287000
2013-08-15,185.0,194.0,183.0,192.0,192.0,1118000
2013-08-16,186.0,187.0,183.0,186.0,186.0,1515500
2013-08-19,183.0,185.0,179.0,183.0,183.0,2884000
2013-08-20,188.0,189.0,175.0,175.0,175.0,9500
2013-08-21,177.0,177.0,177.0,177.0,177.0,22500
2013-08-22,165.0,190.0,163.0,179.0,179.0,4159500
2013-08-23,172.0,188.0,172.0,185.0,185.0,1967000
2013-08-26,185.0,190.0,177.0,179.0,179.0,1605000
2013-08-27,180.0,180.0,180.0,180.0,180.0,500
2013-08-28,180.0,180.0,180.0,180.0,180.0,500
2013-08-29,180.0,182.0,176.0,176.0,176.0,14000
2013-08-30,179.0,179.0,170.0,179.0,179.0,9000
2013-09-02,180.0,188.0,180.0,184.0,184.0,77000
2013-09-03,185.0,187.0,183.0,183.0,183.0,37500
2013-09-04,184.0,187.0,175.0,180.0,180.0,2456000
2013-09-05,180.0,180.0,173.0,179.0,179.0,2500
